periodo,indice,valor
200701,ocupa_hotelera,55.75
200702,ocupa_hotelera,57.65
200703,ocupa_hotelera,57.93
200704,ocupa_hotelera,59.28
200705,ocupa_hotelera,59.95
200706,ocupa_hotelera,58.9
200707,ocupa_hotelera,65.54
200708,ocupa_hotelera,65.85
200709,ocupa_hotelera,58.15
200710,ocupa_hotelera,56.83
200711,ocupa_hotelera,58.17
200712,ocupa_hotelera,53.38
200801,ocupa_hotelera,55.47
200802,ocupa_hotelera,52.51
200803,ocupa_hotelera,49.09
200804,ocupa_hotelera,57.53
200805,ocupa_hotelera,55.3
200806,ocupa_hotelera,50.95
200807,ocupa_hotelera,58.31
200808,ocupa_hotelera,67.05
200809,ocupa_hotelera,55.93
200810,ocupa_hotelera,54.07
200811,ocupa_hotelera,53.33
200812,ocupa_hotelera,53.99
200901,ocupa_hotelera,48.31
200902,ocupa_hotelera,39.9
200903,ocupa_hotelera,46.57
200904,ocupa_hotelera,42.39
200905,ocupa_hotelera,38.65
200906,ocupa_hotelera,41.78
200907,ocupa_hotelera,51.71
200908,ocupa_hotelera,55.82
200909,ocupa_hotelera,54.53
200910,ocupa_hotelera,47.37
200911,ocupa_hotelera,50.46
200912,ocupa_hotelera,51.98
201001,ocupa_hotelera,51.78
201002,ocupa_hotelera,45.5
201003,ocupa_hotelera,51.83
201004,ocupa_hotelera,47.94
201005,ocupa_hotelera,44.17
201006,ocupa_hotelera,44.18
201007,ocupa_hotelera,55.74
201008,ocupa_hotelera,54.42
201009,ocupa_hotelera,53.43
201010,ocupa_hotelera,57.83
201011,ocupa_hotelera,55.65
201012,ocupa_hotelera,45.41
201101,ocupa_hotelera,44.29
201102,ocupa_hotelera,44.36
201103,ocupa_hotelera,48.34
201104,ocupa_hotelera,41.46
201105,ocupa_hotelera,47.68
201106,ocupa_hotelera,49.31
201107,ocupa_hotelera,51.77
201108,ocupa_hotelera,57.54
201109,ocupa_hotelera,52.21
201110,ocupa_hotelera,53.45
201111,ocupa_hotelera,56.75
201112,ocupa_hotelera,53.76
201201,ocupa_hotelera,48.86
201202,ocupa_hotelera,47.31
201203,ocupa_hotelera,48.7
201204,ocupa_hotelera,47.08
201205,ocupa_hotelera,49.87
201206,ocupa_hotelera,50.19
201207,ocupa_hotelera,55.87
201208,ocupa_hotelera,63.54
201209,ocupa_hotelera,54.4
201210,ocupa_hotelera,57.41
201211,ocupa_hotelera,65.21
201212,ocupa_hotelera,60.78
201301,ocupa_hotelera,56.52
201302,ocupa_hotelera,50.47
201303,ocupa_hotelera,51.62
201304,ocupa_hotelera,52.69
201305,ocupa_hotelera,52.16
201306,ocupa_hotelera,58.97
201307,ocupa_hotelera,58.59
201308,ocupa_hotelera,64.01
201309,ocupa_hotelera,57.38
201310,ocupa_hotelera,58.29
201311,ocupa_hotelera,65.12
201312,ocupa_hotelera,64.11
201401,ocupa_hotelera,55.76
201402,ocupa_hotelera,53.97
201403,ocupa_hotelera,55.36
201404,ocupa_hotelera,63.58
201405,ocupa_hotelera,54.1
201406,ocupa_hotelera,54.91
201407,ocupa_hotelera,55.23
201408,ocupa_hotelera,67.49
201409,ocupa_hotelera,59.78
201410,ocupa_hotelera,62.33
201411,ocupa_hotelera,64.41
201412,ocupa_hotelera,71.59
201501,ocupa_hotelera,55.61
201502,ocupa_hotelera,56.93
201503,ocupa_hotelera,56.36
201504,ocupa_hotelera,56.84
201505,ocupa_hotelera,58.37
201506,ocupa_hotelera,57.69
201507,ocupa_hotelera,63.7
201508,ocupa_hotelera,70.02
201509,ocupa_hotelera,72.4
201510,ocupa_hotelera,67.82
201511,ocupa_hotelera,69.9
201512,ocupa_hotelera,70.1
201601,ocupa_hotelera,64.11
201602,ocupa_hotelera,66.37
201603,ocupa_hotelera,64.59
201604,ocupa_hotelera,61.17
201605,ocupa_hotelera,66.01
201606,ocupa_hotelera,62.5
201607,ocupa_hotelera,65.43
201608,ocupa_hotelera,71.79
201609,ocupa_hotelera,67.31
201610,ocupa_hotelera,62.88
201611,ocupa_hotelera,69.67
201612,ocupa_hotelera,63.84
201701,ocupa_hotelera,59.85
201702,ocupa_hotelera,61.97
201703,ocupa_hotelera,58.43
201704,ocupa_hotelera,56.67
201705,ocupa_hotelera,61.76
201706,ocupa_hotelera,58.04
201707,ocupa_hotelera,60.8
201708,ocupa_hotelera,69.26
201709,ocupa_hotelera,60.93
201710,ocupa_hotelera,64.61
201711,ocupa_hotelera,66.58
201712,ocupa_hotelera,58.26
201801,ocupa_hotelera,57.27
201802,ocupa_hotelera,58.82
201803,ocupa_hotelera,56.93
201804,ocupa_hotelera,56.43
201805,ocupa_hotelera,55.27
201806,ocupa_hotelera,55.26
201807,ocupa_hotelera,60.75
201808,ocupa_hotelera,67.17
201809,ocupa_hotelera,62.55
201810,ocupa_hotelera,62.74
201811,ocupa_hotelera,68.08
201812,ocupa_hotelera,61.75
201901,ocupa_hotelera,64.48
201902,ocupa_hotelera,63.74
201903,ocupa_hotelera,61.75
201904,ocupa_hotelera,57.54
201905,ocupa_hotelera,60.49
201906,ocupa_hotelera,60.08
201907,ocupa_hotelera,66.7
201908,ocupa_hotelera,72.67
201909,ocupa_hotelera,68.73
